Id;Titulo;Isbn;Autor;Assunto;Valor;
087;Casa de Pensão;978-85-7480-461-3;Marcelo Bulhões, Aluísio de Azevedo;Literatura brasileira, Romance, Ilustrado;R$ 48,80;
088;Casa dos Seis Tostões, A;978-85-7480-729-4;Paul Collins;Tradução, Livros sobre livros;R$ 69,00;
089;Casas Importadoras de Santos e seus Agentes;978-85-7480-710-2;Carina Marcondes Ferreira Pedro;História, Economia, Cultura;R$ 44,00;
090;Catecismo da Preservação de Monumentos;978-85-7480-662-4;Max Dvorák;Arquitetura, Restauração;R$ 44,00;
091;Céus Derretidos;85-85851-12-0;Teixeira Coelho, Jean-Claude Bernardet;Literatura brasileira, Romance;R$ 49,00;
092;Cem Menores Contos Brasileiros do Século, Os;97885-7480-686-0;Marcelino Freire;Literatura brasileira, Contos;R$ 35,00;
093;Cem Menores Contos Brasileiros do Século, Os (5a. ed.);978-85-7480-799-7;Marcelino Freire;Humor, Literatura brasileira, Contos;R$ 48,00;
094;Cena Absurdo;978-85-7480-734-8;Pedro Marques;Literatura, Poesia;R$ 67,00;
095;Cena Macaca;978-85-7480-350-0;Zé Pedro;Arte, Ilustração e pintura, Humor;R$ 68,00;
096;Cena Muda, A;85-7480-017-1;Miguel Angel Fernandez;Literatura brasileira, Romance;R$ 54,00;
097;Cenas da Infância - Kartolas, Kalungas e Katiras;978-85-7480-762-1;Jonas Rosa;Poesia;R$ 40,00;
098;Cenas em Jogo;978-85-7480-805-5;Renato Tardivo;Crítica literária, Teoria literária, Psicanálise e Psicologia, Cinema;R$ 43,00;
099;Cera das Almas;85-7480-247-6;Pedro Nava;Memória, Literatura brasileira;R$ 43,00;
100;Choro de Homem;85-7480-058-9;Marcos Rodrigues;Literatura brasileira, Contos, Ilustrado;R$ 44,00;
101;Ciclo das Chamas;85-7480-292-1;Antônio Lázaro de Almeida Prado;Literatura brasileira, Poesia;R$ 39,00;
102;Cidade de Atys;85-85851-60-0;Marcelo Novaes;Literatura brasileira, Romance;R$ 29,00;
103;Cidade e as Serras, A;978-85-7480-380-7;Paulo Franchetti, Leila Guenther, Eça de Queirós;Romance, Literatura portuguesa, Ilustrado;R$ 46,00;
104;Cidadela Ardente;85-85851-48-1;Thelma Guedes;Ilustrado, Literatura brasileira, Contos;R$ 48,00;
105;Cinematografia;978-85-7480-808-6;Paulo Lopes Lourenço;Ilustrado, Poesia;R$ 48,00;
106;Clarice Lispector - Uma Poética do Olhar;85-85851-85-6;Regina Pontieri;Literatura brasileira, Crítica literária;R$ 53,00;
107;Clepsidra;978-85-7480-462-0;Paulo Franchetti, Camilo Pessanha;Poesia, Literatura portuguesa, Ilustrado;R$ 38,00;
108;Clichês Brasileiros;978-85-7480-643-3;Gustavo Piqueira;Ilustrado, Design, Livros sobre livros, Ilustração e pintura, Tipografia, Artes gráficas;R$ 69,00;
109;Clusters;978-85-7480-522-1;Pedro Marques;Literatura brasileira, Poesia;R$ 38,00;
110;Cocanha - Várias Faces de uma Utopia;978-65-5580-010-4;Hilário Franco Jr.;Ilustrado, Sociologia e Sociedade, Literatura medieval, Mitologia, História, Cultura medieval, Idade média;R$ 55,00;
111;Coisas do Diabo Contra;978-85-7480-645-7;Eromar Bomfim;Ilustrado, Literatura brasileira, Romance;R$ 53,00;
112;Comédia e Seus Duplos, A: O Anfitrião de Plauto;978-85-7480-763-8;Rodrigo Tadeu Gonçalves;Crítica literária, Teatro, Literatura clássica;R$ 69,90;
113;Comentário Literal sobre os Três Primeiros Capítulos do Gênesis;85-7480-102-X;Giovanni Jacopo Casanova;Romance, Literatura estrangeira;R$ 38,00;
114;Comunicados Lacônicos;978-85-7480-402-6;Antonio Lizárraga;Literatura brasileira, Poesia; ;
115;Condillac Lúcido e Translúcido;978-85-7480-551-1;Leon Kossovitch;Filosofia;R$ 59,00;
116;Contos da Nova Cartilha - Primeiro Livro de Leitura;978-85-7480-823-9;Liev Tolstói;Literatura estrangeira, Contos, Infantil, Ilustrado, Tradução;R$ 58,00;
117;Contos do Divã;978-85-7480-373-9;Sylvia Loeb;Literatura brasileira, Contos, Psicanálise e Psicologia;R$ 46,00;
118;Contracomunicação;85-7480-207-7;Décio Pignatari;Comunicação, Semiótica, Ilustrado;R$ 53,00;
119;Conversações Noturnas & Outros Poemas, As;978-85-7480-363-0;José Laurenio de Melo;Literatura brasileira, Poesia;;
120;Coração, Cabeça e Estômago;978-85-7480-793-5;Camilo Castelo Branco;Ilustrado, Literatura portuguesa;R$ 45,50;
121;Coreografia do Desejo, A - Cem Anos de Ficção Brasileira;85-7480-033-3;Maria Angélica G. Lopes;Literatura brasileira, Crítica literária;R$ 56,00;
122;Cores de Rosa;978-85-7480-527-6;Adélia Bezerra de Meneses;Ilustrado, Literatura brasileira, Crítica literária, Semiótica, Psicanálise e Psicologia;R$ 65,00;
123;Corredores para Abutres;85-7480-175-5;Regina Silveira;Arte, Ilustração e pintura;R$ 31,00;
124;Corrupção (18 Contos);85-7480-141-0;Rodrigo Penteado;Literatura brasileira, Contos;R$ 53,00;
125;Cortiço, O;978-85-7480-579-5;Paulo Franchetti, Leila Guenther, Aluísio de Azevedo;Literatura brasileira, Romance, Ilustrado;R$ 47,80;
126;Coruja, O;978-65--5580-005-0;José de Paula Ramos Jr., Aluísio de Azevedo, Maria Schtine Viana, Kaio Romero;Ilustrado, Literatura brasileira, Romance, Literatura;R$ 58,00;
127;Cozinheiro Nacional: Melhores Receitas Brasileiras e Europeias;978-85-7480-231-2;Anônimo;Gastronomia, Culinária, História, Ilustrado;R$ 98,00;
128;Crítica e Criação - Um Estudo da Kreisleriana Op. 16 de Robert Schumann;978-85-7480-354-8;Mónica Vermes;Música, Crítica musical;R$ 56,00;
129;Crítica Literária Brasileira em Perspectiva, A;978-85-7480-660-0;Rogério Cordeiro, Andréa Sirihal Werkema, Claudia Campos Soares, Sérgio Alcides Pereira do Amaral;Literatura brasileira, Crítica literária, História;R$ 65,00;
130;Crônicas da Vida Boêmia;85-85851-66-X;Aluízio Falcão;Literatura brasileira, Crônicas;R$ 58,00;
131;Crônicas Efêmeras;85-86084-14-X;João do Rio;Memória, Literatura brasileira, Crônicas;R$ 53,00;
132;Criação e Conflito;978-85-7480-499-6;Celeste Ribeiro de Sousa;Crítica literária, Literatura estrangeira;R$ 56,00;
133;Crise em Crise - Notas sobre Poesia e Crítica;978-65-5580-023-4;Paulo Franchetti;Crítica literária, Literatura;R$ 65,00;
134;Cultura Literária Medieval, A;978-85-7480-340-1;Segismundo Spina;Idade média, Crítica literária, Literatura medieval, Cultura medieval;R$ 39,00;
135;Da Argila à Nuvem;978-85-7480-831-4;Yann Sordet;Artes gráficas, História, Livros sobre livros, Bibliofilia;R$ 44,00;
136;Dança de Shiva, A;978-85-7480-503-0;Ricardo Pires de Souza;Literatura brasileira, Poesia;R$ 27,00;
137;Dante - O Poeta do Absoluto;85-7480-009-0;Dante Alighieri, Hilário Franco Jr.;Biografia;R$ 32,00;
138;De Olho na Morte e Antes;978-85-7480-594-8;Fernando Fortes;Literatura brasileira, Poesia;R$ 94,00;
139;De Orfeu e de Perséfone - Morte e Literatura;978-85-7480-396-8;Lélia Parreira Duarte;Crítica literária, Literatura;R$ 00,00;
140;De Voos e Ilhas - Literatura e Comunitarismos;85-7480-168-2;Benjamin Abdala Jr.;Literatura brasileira, Crítica literária, Literatura portuguesa, Literatura africana;R$ 65,00;
141;Debaixo do Sol;978-85-7480-524-5;Eunice Arruda;Literatura brasileira, Poesia;R$ 40,00;
142;Descoberta do Frio, A;978-85-7480-708-9;Oswaldo de Camargo;Literatura brasileira, Romance;R$ 38,00;
143;Desenho Mágico - Poesia e Política em Chico Buarque;85-7480-001-5;Adélia Bezerra de Meneses;Crítica literária, Música, Poesia, Política, Ilustrado;R$ 68,00;
144;Design como Ele É, O;978-85-7480-338-8;Chico Homem de Melo, Eliana Tróia;Livros sobre livros, Design, Tipografia, Artes gráficas, Ilustrado;R$ 32,00;
145;Design da Escrita, O - Redigindo com Criatividade e Beleza, Inclusive Ficção;978-85-7480-387-6;Antônio Suárez Abreu;Design, Comunicação, Literatura, Criação, Escrita;R$ 45,00;
146;Deste Lugar;978-85-7480-595-5;Paulo Franchetti;Literatura brasileira, Poesia;R$ 39,00;
147;Deuses Chutam Lata na Consolação, Os;85-85851-21-X;Gilson Rampazzo;Literatura brasileira, Romance;R$ 46,00;
148;Dez Mitos sobre os Judeus - 2a. ed.;978-85-7480-843-7;Maria Luiza Tucci Carneiro;Ilustrado, Mitologia, História, Judaísmo;R$ 50,00;
149;Diana Caçadora & Tango Fantasma;85-7480-209-3;Márcia Denser;Literatura brasileira, Contos;R$ 45,00;
150;Dias Melhores... Pra Sempre!;85-7480-314-6;Cyro Leão, Luiz Chinan, Jadyr Pavão Jr.;Poesia, Literatura portuguesa, Ilustrado;R$ 36,00;
151;Diálogos Literários - Literatura, Comparativismo e Ensino;978-85-7480-416-3;Agnaldo Rodrigues da Silva;Crítica literária, Literatura;R$ 65,00;
152;Diálogos sobre a Tecnologia do Cinema Brasileiro;978-85-7480-360-9;Paulo B. C. Schettino;Memória, Cinema, Entrevistas;R$ 69,00;
153;Dicionário Grego-Português;978-65-5580-073-9;Daisi Malhadas, Maria Celeste C. Dezotti, Maria Helena de Moura Neves;Bilíngue, Dicionário;R$ 346,00;
154;Diderot - O Espírito das "Luzes";85-7480-030-9;Jacó Guinsburg;Biografia;R$ 32,00;
155;Dissipatio H.G. - O Fim do Gênero Humano;85-7480-049-X;Guido Morselli;Tradução, Romance, Literatura estrangeira;R$ 53,00;
156;Distopia;978-85-7480-506-1;Hélio Franchini Neto;Literatura brasileira, Romance;R$ 38,00;
157;Divina Comédia;978-65-5580-033-3;João Adolfo Hansen, Henrique Xavier, Sandro Botticelli, Dante Alighieri, João Trentino Ziller;Ilustrado, Arte, Ilustração e pintura, Poesia, Literatura estrangeira, Bilíngue, Literatura clássica, Tradução;R$ 520,00;
158;Do Formalismo Estético Trovadoresco;978-85-7480-442-2;Segismundo Spina;Idade média, Crítica literária, Literatura medieval, Estética, Cultura medieval;R$ 60,00;
159;Dom Casmurro;978-85-7480-399-9;Paulo Franchetti, Leila Guenther, Machado de Assis;Literatura brasileira, Romance, Ilustrado;R$ 48,00;
160;Domínios de Natureza no Brasil, Os - 8a ed.;978-65-5580-031-9;Aziz Ab Sáber;Ilustrado, Geografia;R$ 56,00;
161;Domínios de Natureza no Brasil, Os - Potencialidades Paisagísticas;978-85-7480-596-2;Aziz Ab Sáber;Geografia, Ecologia, Ilustrado;R$ 52,00;
162;Drummond - Da Rosa do Povo à Rosa das Trevas;85-7480-050-3;Vagner Camilo;Literatura brasileira, Crítica literária;R$ 80,00;
163;Duplo Canto e Outros Poemas;978-85-7480-547-4;François Cheng;Poesia, Literatura estrangeira, Bilíngue, Tradução;R$ 102,00;
164;E Fizerom Taes Maravilhas... - Histórias de Cavaleiros e Cavalarias;978-85-7480-629-7;Lênia Márcia Mongelli;Crítica literária, Literatura medieval, História, Idade média, Cultura medieval;R$ 95,00;
165;Eça de Queiroz. Uma Biografia;978-85-7480-673-0;A. Campos Matos;Literatura portuguesa, Crítica literária, Biografia, Ilustrado;R$ 128,00;
166;Economia da Cultura, A;978-85-7480-337-1;Françoise Benhamou;Tradução, Economia, Cultura;R$ 45,00;
167;Edgar Allan Poe - Um Homem em sua Sombra;85-7480-072-4;Ricardo Araújo;Crítica literária, Literatura estrangeira, Biografia;R$ 43,00;
168;Edição e Revolução: Leituras Comunistas no Brasil e na França;978-85-7480-661-7;Marisa Midori Deaecto, Jean-Yves Mollier;História, Livros sobre livros, Ilustrado;R$ 81,00;
169;Edifícios Comerciais - Felipe Bezerra;85-7480-272-7;Fernando Serapião;Arquitetura, Ilustrado;R$ 25,00;
170;Edifícios Escolares - Miguel Juliano;85-7480-145-3;Cristiane Corrêa;Arquitetura, Ilustrado;R$ 23,00;
171;Educação & Psicologia - Cinquenta Anos de Profissão;85-7480-250-6;Geraldina Porto Witter;Memória, Ilustrado;R$ 64,00;
172;Educação Sentimental em Proust;85-7480-128-3;Philippe Willemart;Crítica literária;R$ 53,00;
173;Educar para o Imponderável;978-65-5580-019-7;Luis Carlos de Menezes;Sociologia e Sociedade, Política, Educação e Pedagogia, Cidadania;R$ 60,00;
174;Edusp: Um Projeto Editorial;85-7480-089-9;Marcello Rollemberg, Plinio Martins Filho;Editoração, Ilustrado;R$ 99,80;
175;Eis o Mundo de Fora;978-85-7480-565-8;Adrienne Myrtes;Literatura brasileira, Romance;R$ 47,00;
176;Electra de Eurípides;978-85-7480-712-6;Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides;Tradução, Teatro, Bilíngue, Cultura grega, Literatura clássica;R$ 53,00;
177;Electra(s);978-85-7480-779-9;Trajano Vieira;Tradução, Cultura grega, Teatro, Literatura clássica, Ilustrado;R$ 42,00;
178;Elegia Grega Arcaica - Uma Antologia;978-65-5580-043-2;Giuliana Ragusa, Rafael Brunhara;Poesia, Bilíngue, Literatura clássica, Cultura grega;R$ 95,00;
179;Elementos de Semiótica Tensiva;978-85-7480-572-6;Luiz Tatit, Ivã Carlos Lopes, Claude Zilberberg;Comunicação, Semiótica, Linguística;R$ 62,00;
180;Elos de Melodia e Letra - Análise Semiótica de Seis Canções;978-85-7480-403-3;Luiz Tatit, Ivã Carlos Lopes;Música, Semiótica;R$ 48,00;
181;Em Busca do Paraíso Perdido: As Utopias Medievais;978-65-5580-042-5;Hilário Franco Jr.;Ilustrado, Sociologia e Sociedade, Mitologia, História, Cultura medieval, Idade média;R$ 180,00;
182;Em Louvor de Anti-Heróis;85-7480-062-7;Victor Brombert;Tradução, Crítica literária, Literatura;R$ 60,00;
183;Em Nome do Corpo;85-7480-295-6;Iacopo Pontormo;Arte, Memória, Bilíngue, Ilustrado, Tradução;R$ 59,00;
184;Encanto de Narciso, O - Reflexões sobre a Fotografia;978-65-5580-012-8;Boris Kossoy;Arte, Fotografia;R$ 68,00;
185;Encontros e Des-encontros;85-7480-291-3;Maria Teresa Hellmeister Fornaciari;Literatura brasileira, Crônicas;R$ 38,00;
186;Encrenca;85-7480-135-6;Manoel Carlos Karam;Literatura brasileira, Romance;R$ 34,00;
187;Engenharia, Inovação e Desenv. Sustentável;978-65-5580-070-8;Gustavo Piqueira, José Roberto Castilho Piqueira, Laurindo de Salles Leal Filho;Ilustrado, Sociologia e Sociedade, Arquitetura, Ecologia, Urbanismo, Cidadania;R$ 60,00;
188;Engenhos da Sedução - O Hino Homérico a Afrodite;978-65-5580-081-4;Mary Lafer;Ilustrado, Bilíngue, Mitologia, Literatura clássica, Cultura grega;R$ 78,00;
189;Ensaiando a Canção - Paulinho da Viola e Outros Escritos;978-85-7480-537-5;Eliete Eça Negreiros;Música, Crítica musical;R$ 48,00;
190;Ensino de Ciências e Matemática - Formação e Atuação de Professores;978-85-7480-546-7;Geraldina Porto Witter, Moacir Wuo;Educação e Pedagogia;R$ 36,00;
191;Entreato Amoroso;978-85-7480-378-4;Aercio Consolin;Literatura brasileira, Romance;R$ 57,00;
192;Entreatos;978-85-7480-822-2;Gustavo Piqueira, Marcelo Castel Cid;Literatura brasileira, Romance, Religião;R$ 36,00;
193;Entrelivros;85-85851-71-6;João Alexandre Barbosa;Crítica literária, Literatura;R$ 48,00;
194;Entretanto n° 1 - Revista de Literatura;1980-8909;Marcelino Freire, Delmo Montenegro, Fabiano Calixto, Micheliny Verunschk, Raimundo Carrero;Crítica literária, Poesia, Contos, Crônicas, Literatura, Ilustrado;R$ 25,00;
195;Entrevistas de Domingo;978-85-7480-369-2;O Diário de Mogi;Memória, Jornalismo;R$ 150,00;
196;Epigramas 2. ed.;978-85-7480-840-6;Gustavo Piqueira, Marco Valério Marcial, Rodrigo Garcia Lopes;Humor, Poesia, Bilíngue, Tradução, Literatura clássica;R$ 55,00;
